,FINAL,PRE-CLEARIN,G PRICES AS,OF 02/18,/16 06:00,PM (CST),,,,,
1775,----,----,----,----,155.9,-6.6,,162.5,,,
1780,----,----,----,----,151.8,-6.6,,158.4,,,
1785,----,----,----,----,147.7,-6.6,,154.3,,,
1790,----,----,----,----,143.6,-6.6,,150.2,,,
1795,----,----,----,----,139.6,-6.5,,146.1,,,
1800,----,----,----,----,135.6,-6.5,,142.1,,,
1805,----,----,----,----,131.6,-6.5,,138.1,,,
1810,----,----,----,----,127.7,-6.4,,134.1,,,
1815,----,----,----,----,123.8,-6.4,,130.2,,,
1820,----,----,----,----,119.9,-6.4,,126.3,,,
1825,----,----,----,----,116.1,-6.3,,122.4,,,
1830,----,----,----,----,112.3,-6.3,,118.6,,,
1835,----,----,----,----,108.5,-6.3,,114.8,,,
1840,----,----,----,----,104.7,-6.4,,111.1,,,
1845,----,----,----,----,101,-6.4,,107.4,,,
1850,----,----,----,----,97.3,-6.4,,103.7,,,
1855,----,----,----,----,93.8,-6.3,,100.1,,,
1860,----,----,----,----,90.2,-6.4,,96.6,,,
1865,----,----,----,----,86.7,-6.4,,93.1,,,
1870,----,----,----,----,83.3,-6.3,,89.6,,,
1875,----,----,----,----,79.9,-6.2,,86.1,,,150
1880,----,----,----,----,76.6,-6.1,,82.7,,,1
1885,----,----,----,----,73.3,-6,,79.3,,,
1890,----,----,----,----,70.1,-5.9,,76,,,
1895,----,----,----,----,67,-5.8,,72.8,,,
1900,----,----,----,----,63.9,-5.7,,69.6,15,,170
1905,----,----,----,----,60.9,-5.6,,66.5,,,
1910,----,----,----,----,57.9,-5.5,,63.4,,,1
1915,----,----,----,----,55,-5.4,,60.4,,,
1920,----,----,----,----,52.1,-5.4,,57.5,,,
1925,----,----,----,----,49.3,-5.3,,54.6,,,
1930,----,----,----,----,46.6,-5.2,,51.8,,,5
1935,----,----,----,----,43.9,-5.1,,49,,,
1940,----,----,----,----,41.3,-5,,46.3,,,
1945,----,----,----,----,38.8,-4.9,,43.7,,,
1950,----,----,----,----,36.4,-4.8,,41.2,,,201
1955,----,----,----,----,34.1,-4.6,,38.7,,,
1960,----,----,----,----,31.8,-4.6,,36.4,,,
1965,----,----,----,----,29.7,-4.4,,34.1,,,
1970,----,----,----,----,27.6,-4.3,,31.9,,,1
1975,----,----,----,----,25.6,-4.1,,29.7,25,,1800
1980,----,----,----,----,23.6,-4,,27.6,,,1
1985,----,----,----,----,21.7,-3.9,281,25.6,57,,2060
1990,----,----,----,----,19.9,-3.8,,23.7,,,
1995,----,----,----,----,18.1,-3.8,,21.9,,,
2000,----,----,----,----,16.5,-3.7,281,20.2,2,,327
2005,----,----,----,----,14.9,-3.7,,18.6,,,319
2010,----,----,----,----,13.5,-3.5,,17,,,
2015,----,----,----,----,12.1,-3.4,,15.5,,,
2020,----,----,----,----,10.9,-3.2,,14.1,2,,651
2025,----,----,----,----,9.7,-3.1,2,12.8,200,,800
2030,----,----,----,----,8.7,-2.9,,11.6,325,,301
2035,----,----,----,----,7.7,-2.7,,10.4,,,
2040,----,----,----,----,6.8,-2.5,481,9.3,398,,1033
2045,----,----,----,----,6,-2.3,,8.3,,,
2050,5.6,5.6,5.6,5.6,5.3,-2,19,7.3,35,,639
2055,----,----,----,----,4.65,-1.85,,6.5,,,
2060,----,----,----,----,4.05,-1.65,3,5.7,674,,994
2065,----,----,----,----,3.5,-1.5,,5,,,
2070,----,----,----,----,3.05,-1.35,402,4.4,725,,1266
2075,----,----,----,----,2.6,-1.25,15,3.85,10,,472
2080,----,----,----,----,2.2,-1.15,401,3.35,9,,1092
2085,----,----,----,----,1.85,-1.05,,2.9,,,1
2090,1.3,1.3,1.3,1.3,1.55,-0.95,1,2.5,1,,981
2095,----,----,----,----,1.25,-0.9,,2.15,,,
2100,1.1,1.1,1,1,1.05,-0.8,103,1.85,,,637
2105,----,----,----,----,0.85,-0.75,,1.6,,,
2110,----,----,----,----,0.7,-0.65,,1.35,,,1005
2115,----,----,----,----,0.6,-0.55,,1.15,,,
2120,----,----,----,----,0.5,-0.45,,0.95,5,,1229
2125,----,----,----,----,0.4,-0.4,,0.8,,,100
2130,----,----,----,----,0.35,-0.35,,0.7,,,586
2135,----,----,----,----,0.3,-0.3,,0.6,,,3
2140,----,----,----,----,0.25,-0.25,,0.5,,,3
2145,----,----,----,----,0.25,-0.2,,0.45,,,
2150,----,----,----,----,0.2,-0.2,,0.4,,,311
2155,----,----,----,----,0.2,-0.15,,0.35,,,
2160,0.2,0.2,0.2,0.2,0.15,-0.15,2,0.3,,,2700
2165,----,----,----,----,0.15,-0.15,,0.3,,,430
2170,0.15,0.15,0.15,0.15,0.15,-0.1,202,0.25,,,2925
2175,----,----,----,----,0.15,-0.05,,0.2,,,200
2180,----,----,----,----,0.1,-0.1,,0.2,,,125
2185,----,----,----,----,0.1,-0.1,,0.2,,,
2190,----,----,----,----,0.1,-0.05,,0.15,,,1
2195,----,----,----,----,0.1,-0.05,,0.15,,,
2200,----,----,----,----,0.1,-0.05,,0.15,,,
2205,----,----,----,----,0.05,-0.1,,0.15,,,1
2210,----,----,----,----,0.05,-0.05,,0.1,,,
2215,----,----,----,----,0.05,-0.05,,0.1,,,1575
2220,----,----,----,----,0.05,-0.05,,0.1,,,
2225,----,----,----,----,0.05,-0.05,,0.1,,,
2230,----,----,----,----,0.05,-0.05,,0.1,,,
2235,----,----,----,----,0.05,UNCH,,0.05,,,
2240,----,----,----,----,0.05,UNCH,,0.05,,,1
2245,----,----,----,----,0.05,UNCH,,0.05,,,
2250,----,----,----,----,CAB,-0.05,,0.05,,,502
2255,----,----,----,----,CAB,-0.05,,0.05,,,
2260,----,----,----,----,CAB,-0.05,,0.05,,,
2265,----,----,----,----,CAB,-0.05,,0.05,,,
2270,----,----,----,----,CAB,-0.05,,0.05,,,
2275,----,----,----,----,CAB,UNCH,,CAB,,,
2280,----,----,----,----,CAB,UNCH,,CAB,,,
2290,----,----,----,----,CAB,UNCH,,CAB,,,
2300,----,----,----,----,CAB,UNCH,,CAB,,,
2310,----,----,----,----,CAB,UNCH,,CAB,,,
2320,----,----,----,----,CAB,UNCH,,CAB,,,
2325,----,----,----,----,CAB,UNCH,,CAB,,,
2330,----,----,----,----,CAB,UNCH,,CAB,,,
2340,----,----,----,----,CAB,UNCH,,CAB,,,
2350,----,----,----,----,CAB,UNCH,,CAB,,,
2360,----,----,----,----,CAB,UNCH,,CAB,,,
2370,----,----,----,----,CAB,UNCH,,CAB,,,
2375,----,----,----,----,CAB,UNCH,,CAB,,,
2380,----,----,----,----,CAB,UNCH,,CAB,,,
2390,----,----,----,----,CAB,UNCH,,CAB,,,
2400,----,----,----,----,CAB,UNCH,,CAB,,,
2410,----,----,----,----,CAB,UNCH,,CAB,,,
2420,----,----,----,----,CAB,UNCH,,CAB,,,
2425,----,----,----,----,CAB,UNCH,,CAB,,,
2430,----,----,----,----,CAB,UNCH,,CAB,,,
2440,----,----,----,----,CAB,UNCH,,CAB,,,
2450,----,----,----,----,CAB,UNCH,,CAB,,,
2460,----,----,----,----,CAB,UNCH,,CAB,,,
2470,----,----,----,----,CAB,UNCH,,CAB,,,
2475,----,----,----,----,CAB,UNCH,,CAB,,,
2480,----,----,----,----,CAB,UNCH,,CAB,,,
2490,----,----,----,----,CAB,UNCH,,CAB,,,
2500,----,----,----,----,CAB,UNCH,,CAB,,,
2510,----,----,----,----,CAB,UNCH,,CAB,,,
2520,----,----,----,----,CAB,UNCH,,CAB,,,
2525,----,----,----,----,CAB,UNCH,,CAB,,,
2550,----,----,----,----,CAB,UNCH,,CAB,,,
2575,----,----,----,----,CAB,UNCH,,CAB,,,
2600,----,----,----,----,CAB,UNCH,,CAB,,,
2625,----,----,----,----,CAB,UNCH,,CAB,,,
2650,----,----,----,----,CAB,UNCH,,CAB,,,
2675,----,----,----,----,CAB,UNCH,,CAB,,,
2700,----,----,----,----,CAB,UNCH,,CAB,,,
2725,----,----,----,----,CAB,UNCH,,CAB,,,
2750,----,----,----,----,CAB,UNCH,,CAB,,,
2775,----,----,----,----,CAB,UNCH,,CAB,,,
2800,----,----,----,----,CAB,UNCH,,CAB,,,
2825,----,----,----,----,CAB,UNCH,,CAB,,,
2850,----,----,----,----,CAB,UNCH,,CAB,,,
2875,----,----,----,----,CAB,UNCH,,CAB,,,
2900,----,----,----,----,CAB,UNCH,,CAB,,,
2925,----,----,----,----,CAB,UNCH,,CAB,,,
2950,----,----,----,----,CAB,UNCH,,CAB,,,
2975,----,----,----,----,CAB,UNCH,,CAB,,,
3000,----,----,----,----,CAB,UNCH,,CAB,,,
3025,----,----,----,----,CAB,UNCH,,CAB,,,
3050,----,----,----,----,CAB,UNCH,,CAB,,,
3075,----,----,----,----,CAB,UNCH,,CAB,,,
3100,----,----,----,----,CAB,UNCH,,CAB,,,
3125,----,----,----,----,CAB,UNCH,,CAB,,,
3150,----,----,----,----,CAB,UNCH,,CAB,,,
OS MAY1,6 CME S&,P 500 OPTIO,NS CALL,,,,,,,,
800,----,----,----,----,1107.7,-6.1,,1113.8,,,
825,----,----,----,----,1082.7,-6.1,,1088.8,,,
850,----,----,----,----,1057.7,-6.1,,1063.8,,,
875,----,----,----,----,1032.7,-6.1,,1038.8,,,
900,----,----,----,----,1007.7,-6.1,,1013.8,,,
925,----,----,----,----,982.7,-6.1,,988.8,,,
950,----,----,----,----,957.8,-6.1,,963.9,,,
975,----,----,----,----,932.8,-6.1,,938.9,,,
1000,----,----,----,----,907.8,-6.1,,913.9,,,
1025,----,----,----,----,882.9,-6.1,,889,,,
1050,----,----,----,----,857.9,-6.2,,864.1,,,
1075,----,----,----,----,833,-6.2,,839.2,,,
1100,----,----,----,----,808.1,-6.2,,814.3,,,
1125,----,----,----,----,783.2,-6.2,,789.4,,,
1150,----,----,----,----,758.4,-6.2,,764.6,,,
1175,----,----,----,----,733.5,-6.3,,739.8,,,
1200,----,----,----,----,708.7,-6.2,,714.9,,,
1225,----,----,----,----,684,-6.2,,690.2,,,
1250,----,----,----,----,659.3,-6.2,,665.5,,,
1275,----,----,----,----,634.6,-6.3,,640.9,,,
1300,----,----,----,----,609.9,-6.4,,616.3,,,
1325,----,----,----,----,585.3,-6.4,,591.7,,,
1350,----,----,----,----,560.8,-6.4,,567.2,,,
1375,----,----,----,----,536.4,-6.3,,542.7,,,
1400,----,----,----,----,512,-6.4,,518.4,,,
1410,----,----,----,----,502.2,-6.5,,508.7,,,
1420,----,----,----,----,492.5,-6.5,,499,,,
1425,----,----,----,----,487.6,-6.5,,494.1,,,
1430,----,----,----,----,482.8,-6.5,,489.3,,,
1440,----,----,----,----,473.2,-6.4,,479.6,,,
1450,----,----,----,----,463.5,-6.5,,470,,,
1460,----,----,----,----,453.9,-6.6,,460.5,,,
1470,----,----,----,----,444.3,-6.7,,451,,,
1475,----,----,----,----,439.5,-6.7,,446.2,,,
1480,----,----,----,----,434.7,-6.7,,441.4,,,
1490,----,----,----,----,425.2,-6.6,,431.8,,,
1500,----,----,----,----,415.7,-6.6,,422.3,,,
1510,----,----,----,----,406.2,-6.6,,412.8,,,
1520,----,----,----,----,396.7,-6.6,,403.3,,,
1525,----,----,----,----,392,-6.5,,398.5,,,
1530,----,----,----,----,387.3,-6.5,,393.8,,,
1540,----,----,----,----,377.9,-6.4,,384.3,,,
1550,----,----,----,----,368.5,-6.4,,374.9,,,
1560,----,----,----,----,359.2,-6.4,,365.6,,,
1570,----,----,----,----,349.9,-6.5,,356.4,,,
1575,----,----,----,----,345.2,-6.5,,351.7,,,
1580,----,----,----,----,340.6,-6.5,,347.1,,,
1590,----,----,----,----,331.3,-6.6,,337.9,,,
1600,----,----,----,----,322.1,-6.6,,328.7,,,
1610,----,----,----,----,313,-6.6,,319.6,,,
1615,----,----,----,----,308.4,-6.6,,315,,,
1620,----,----,----,----,303.9,-6.6,,310.5,,,
1625,----,----,----,----,299.4,-6.6,,306,,,
1630,----,----,----,----,294.9,-6.6,,301.5,,,
1635,----,----,----,----,290.4,-6.6,,297,,,
1640,----,----,----,----,285.9,-6.6,,292.5,,,
1645,----,----,----,----,281.4,-6.6,,288,,,
1650,----,----,----,----,277,-6.5,,283.5,,,
1655,----,----,----,----,272.5,-6.6,,279.1,,,
1660,----,----,----,----,268.1,-6.5,,274.6,,,
1665,----,----,----,----,263.7,-6.5,,270.2,,,
1670,----,----,----,----,259.3,-6.5,,265.8,,,
1675,----,----,----,----,254.9,-6.5,,261.4,,,
1680,----,----,----,----,250.5,-6.5,,257,,,
1685,----,----,----,----,246.1,-6.5,,252.6,,,
1690,----,----,----,----,241.8,-6.4,,248.2,,,
1695,----,----,----,----,237.5,-6.4,,243.9,,,
1700,----,----,----,----,233.2,-6.4,,239.6,,,
1705,----,----,----,----,229,-6.3,,235.3,,,
1710,----,----,----,----,224.7,-6.3,,231,,,
1715,----,----,----,----,220.4,-6.4,,226.8,,,
1720,----,----,----,----,216.2,-6.4,,222.6,,,
1725,----,----,----,----,212,-6.4,,218.4,,,
1730,----,----,----,----,207.9,-6.3,,214.2,,,
1735,----,----,----,----,203.7,-6.4,,210.1,,,
1740,----,----,----,----,199.6,-6.4,,206,,,
1745,----,----,----,----,195.4,-6.5,,201.9,,,
1750,----,----,----,----,191.3,-6.5,,197.8,,,
1755,----,----,----,----,187.2,-6.5,,193.7,,,
1760,----,----,----,----,183.2,-6.4,,189.6,,,
1765,----,----,----,----,179.2,-6.3,,185.5,,,
1770,----,----,----,----,175.2,-6.3,,181.5,,,
1775,----,----,----,----,171.2,-6.3,,177.5,,,
1780,----,----,----,----,167.2,-6.3,,173.5,,,
1785,----,----,----,----,163.3,-6.3,,169.6,,,
1790,----,----,----,----,159.4,-6.3,,165.7,,,
1795,----,----,----,----,155.5,-6.3,,161.8,,,
1800,----,----,----,----,151.6,-6.3,,157.9,,,
1805,----,----,----,----,147.8,-6.3,,154.1,,,
1810,----,----,----,----,144,-6.4,,150.4,,,
1815,----,----,----,----,140.3,-6.3,,146.6,,,
1820,----,----,----,----,136.6,-6.3,,142.9,,,
1825,----,----,----,----,133,-6.2,,139.2,,,
1830,----,----,----,----,129.4,-6.1,,135.5,,,
1835,----,----,----,----,125.8,-6,,131.8,,,
1840,----,----,----,----,122.2,-6,,128.2,,,
1845,----,----,----,----,118.6,-6,,124.6,,,
1850,----,----,----,----,115,-6.1,,121.1,,,
1855,----,----,----,----,111.5,-6.1,,117.6,,,
1860,----,----,----,----,108.1,-6,,114.1,,,
1865,----,----,----,----,104.7,-6,,110.7,,,
1870,----,----,----,----,101.3,-6,,107.3,,,
1875,----,----,----,----,98.1,-5.9,,104,,,
1880,----,----,----,----,94.8,-6,,100.8,,,
1885,----,----,----,----,91.5,-6,,97.5,,,
1890,----,----,----,----,88.3,-6,,94.3,,,
1895,----,----,----,----,85.1,-6,,91.1,,,
1900,----,----,----,----,81.9,-6,,87.9,400,,300
1905,----,----,----,----,78.8,-6,,84.8,,,
1910,----,----,----,----,75.8,-5.9,,81.7,,,
1915,----,----,----,----,72.8,-5.8,,78.6,,,
1920,----,----,----,----,69.9,-5.7,,75.6,,,
1925,----,----,----,----,67.1,-5.6,,72.7,,,
1930,----,----,----,----,64.3,-5.5,,69.8,,,
1935,----,----,----,----,61.5,-5.4,,66.9,,,
1940,----,----,----,----,58.8,-5.3,,64.1,,,
1945,----,----,----,----,56.2,-5.2,,61.4,,,
1950,----,----,----,----,53.6,-5.2,,58.8,,,
1955,----,----,----,----,51,-5.2,,56.2,,,
1960,----,----,----,----,48.5,-5.1,,53.6,,,
1965,----,----,----,----,46.1,-5,,51.1,,,
1970,----,----,----,----,43.7,-5,,48.7,,,
1975,----,----,----,----,41.4,-4.9,,46.3,,,
1980,----,----,----,----,39.2,-4.8,,44,,,
1985,----,----,----,----,37,-4.7,,41.7,,,
1990,----,----,----,----,34.9,-4.6,,39.5,,,
1995,----,----,----,----,32.9,-4.5,,37.4,,,
2000,----,----,----,----,30.9,-4.4,,35.3,,,390
2005,----,----,----,----,29,-4.2,,33.2,,,
2010,----,----,----,----,27.1,-4.1,,31.2,,,
2015,----,----,----,----,25.3,-4,,29.3,,,
2020,----,----,----,----,23.6,-3.9,,27.5,,,
2025,----,----,----,----,22,-3.7,8,25.7,,,
2030,----,----,----,----,20.5,-3.5,,24,,,
2035,----,----,----,----,19,-3.4,,22.4,,,
2040,----,----,----,----,17.6,-3.3,,20.9,,,140
2045,----,----,----,----,16.3,-3.1,,19.4,,,
2050,----,----,----,----,15,-3,100,18,,,160
2055,----,----,----,----,13.8,-2.9,,16.7,,,
2060,----,----,----,----,12.7,-2.7,,15.4,,,
2065,----,----,----,----,11.6,-2.6,,14.2,,,
2070,----,----,----,----,10.6,-2.5,,13.1,,,
2075,----,----,----,----,9.6,-2.4,8,12,,,100
2080,----,----,----,----,8.7,-2.2,,10.9,,,
2085,----,----,----,----,7.8,-2.1,,9.9,,,
2090,----,----,----,----,7,-2,,9,1,,1
2095,----,----,----,----,6.3,-1.8,,8.1,,,
2100,----,----,----,----,5.6,-1.7,1,7.3,,,
2105,----,----,----,----,4.9,-1.7,,6.6,,,
2110,----,----,----,----,4.35,-1.55,,5.9,,,
2115,----,----,----,----,3.8,-1.5,,5.3,,,
2120,----,----,----,----,3.3,-1.35,,4.65,,,2
2125,----,----,----,----,2.9,-1.25,,4.15,,,
2130,----,----,----,----,2.5,-1.15,,3.65,2,,2
2135,----,----,----,----,2.15,-1.05,,3.2,,,2
2140,----,----,----,----,1.85,-0.95,,2.8,,,
2145,----,----,----,----,1.6,-0.85,,2.45,200,,201
2150,----,----,----,----,1.35,-0.8,,2.15,,,60
2155,----,----,----,----,1.15,-0.7,,1.85,,,
2160,----,----,----,----,0.95,-0.65,,1.6,1600,,3145
2165,----,----,----,----,0.8,-0.55,,1.35,,,
2170,----,----,----,----,0.7,-0.45,,1.15,,,
2175,----,----,----,----,0.55,-0.45,,1,,,2830
2180,----,----,----,----,0.45,-0.4,,0.85,,,
2185,----,----,----,----,0.4,-0.35,,0.75,,,
2190,----,----,----,----,0.35,-0.3,,0.65,,,
2195,----,----,----,----,0.3,-0.25,,0.55,,,
2200,----,----,----,----,0.25,-0.25,,0.5,,,
2205,----,----,----,----,0.2,-0.25,,0.45,,,
2210,----,----,----,----,0.2,-0.2,,0.4,,,
2215,----,----,----,----,0.15,-0.2,,0.35,,,
2220,----,----,----,----,0.15,-0.15,,0.3,,,
2225,----,----,----,----,0.15,-0.1,,0.25,,,
2230,----,----,----,----,0.1,-0.15,,0.25,,,
2235,----,----,----,----,0.1,-0.1,,0.2,,,
2240,----,----,----,----,0.1,-0.1,,0.2,,,
2245,----,----,----,----,0.1,-0.05,,0.15,,,
2250,----,----,----,----,0.1,-0.05,,0.15,,,
2255,----,----,----,----,0.1,-0.05,,0.15,,,
2260,----,----,----,----,0.05,-0.05,,0.1,,,
2265,----,----,----,----,0.05,-0.05,,0.1,,,
2270,----,----,----,----,0.05,-0.05,,0.1,,,
2275,----,----,----,----,0.05,-0.05,,0.1,,,
2280,----,----,----,----,0.05,-0.05,,0.1,,,
2290,----,----,----,----,0.05,UNCH,,0.05,,,
2300,----,----,----,----,0.05,UNCH,,0.05,,,
2310,----,----,----,----,CAB,UNCH,,CAB,,,
2320,----,----,----,----,CAB,UNCH,,CAB,,,
2325,----,----,----,----,CAB,UNCH,,CAB,,,
2330,----,----,----,----,CAB,UNCH,,CAB,,,
2340,----,----,----,----,CAB,UNCH,,CAB,,,
2350,----,----,----,----,CAB,UNCH,,CAB,,,
2360,----,----,----,----,CAB,UNCH,,CAB,,,
2370,----,----,----,----,CAB,UNCH,,CAB,,,
2375,----,----,----,----,CAB,UNCH,,CAB,,,
2380,----,----,----,----,CAB,UNCH,,CAB,,,
2390,----,----,----,----,CAB,UNCH,,CAB,,,
2400,----,----,----,----,CAB,UNCH,,CAB,,,
2410,----,----,----,----,CAB,UNCH,,CAB,,,
2420,----,----,----,----,CAB,UNCH,,CAB,,,
2425,----,----,----,----,CAB,UNCH,,CAB,,,
2430,----,----,----,----,CAB,UNCH,,CAB,,,
2440,----,----,----,----,CAB,UNCH,,CAB,,,
2450,----,----,----,----,CAB,UNCH,,CAB,,,
2460,----,----,----,----,CAB,UNCH,,CAB,,,
2470,----,----,----,----,CAB,UNCH,,CAB,,,
2475,----,----,----,----,CAB,UNCH,,CAB,,,
2480,----,----,----,----,CAB,UNCH,,CAB,,,
2490,----,----,----,----,CAB,UNCH,,CAB,,,
2500,----,----,----,----,CAB,UNCH,,CAB,,,
2510,----,----,----,----,CAB,UNCH,,CAB,,,
2520,----,----,----,----,CAB,UNCH,,CAB,,,
2525,----,----,----,----,CAB,UNCH,,CAB,,,
2550,----,----,----,----,CAB,UNCH,,CAB,,,
2575,----,----,----,----,CAB,UNCH,,CAB,,,
2600,----,----,----,----,CAB,UNCH,,CAB,,,
2625,----,----,----,----,CAB,UNCH,,CAB,,,
2650,----,----,----,----,CAB,UNCH,,CAB,,,
2675,----,----,----,----,CAB,UNCH,,CAB,,,
2700,----,----,----,----,CAB,UNCH,,CAB,,,
2725,----,----,----,----,CAB,UNCH,,CAB,,,
2750,----,----,----,----,CAB,UNCH,,CAB,,,
2775,----,----,----,----,CAB,UNCH,,CAB,,,
2800,----,----,----,----,CAB,UNCH,,CAB,,,
2825,----,----,----,----,CAB,UNCH,,CAB,,,
2850,----,----,----,----,CAB,UNCH,,CAB,,,
2875,----,----,----,----,CAB,UNCH,,CAB,,,
2900,----,----,----,----,CAB,UNCH,,CAB,,,
2925,----,----,----,----,CAB,UNCH,,CAB,,,
2950,----,----,----,----,CAB,UNCH,,CAB,,,
2975,----,----,----,----,CAB,UNCH,,CAB,,,
3000,----,----,----,----,CAB,UNCH,,CAB,,,
3025,----,----,----,----,CAB,UNCH,,CAB,,,
3050,----,----,----,----,CAB,UNCH,,CAB,,,
3075,----,----,----,----,CAB,UNCH,,CAB,,,
3100,----,----,----,----,CAB,UNCH,,CAB,,,
3125,----,----,----,----,CAB,UNCH,,CAB,,,
3150,----,----,----,----,CAB,UNCH,,CAB,,,
OS JUN1,6 CME S&,P 500 OPTIO,NS CALL,,,,,,,,
800,----,----,----,----,1107.7,-6.1,,1113.8,,,
825,----,----,----,----,1082.7,-6.1,,1088.8,,,
850,----,----,----,----,1057.7,-6.1,,1063.8,,,
875,----,----,----,----,1032.7,-6.1,,1038.8,,,
900,----,----,----,----,1007.8,-6.1,,1013.9,,,
925,----,----,----,----,982.8,-6.1,,988.9,,,
950,----,----,----,----,957.8,-6.2,,964,,,
975,----,----,----,----,932.9,-6.2,,939.1,,,
1000,----,----,----,----,908,-6.2,,914.2,,,
1025,----,----,----,----,883.1,-6.2,,889.3,,,
1050,----,----,----,----,858.3,-6.1,,864.4,,,
1075,----,----,----,----,833.5,-6.1,,839.6,,,
1100,----,----,----,----,808.6,-6.2,,814.8,,,
1125,----,----,----,----,783.9,-6.2,,790.1,,,
1150,----,----,----,----,759.1,-6.3,,765.4,,,
1175,----,----,----,----,734.4,-6.3,,740.7,,,
1200,----,----,----,----,709.8,-6.2,,716,,,
1225,----,----,----,----,685.2,-6.2,,691.4,,,
1250,----,----,----,----,660.6,-6.3,,666.9,,,
1275,----,----,----,----,636.1,-6.3,,642.4,,,
1300,----,----,----,----,611.8,-6.1,,617.9,,,
1325,----,----,----,----,587.4,-6.3,,593.7,,,
1350,----,----,----,----,563.2,-6.3,,569.5,,,
1375,----,----,----,----,539.1,-6.3,,545.4,,,
1400,----,----,----,----,515,-6.4,,521.4,,,
1410,----,----,----,----,505.4,-6.4,,511.8,,,
1420,----,----,----,----,496,-6.3,,502.3,,,
1425,----,----,----,----,491.2,-6.3,,497.5,,,
1430,----,----,----,----,486.5,-6.4,,492.9,,,
1440,----,----,----,----,477,-6.4,,483.4,,,
1450,----,----,----,----,467.5,-6.4,,473.9,,,
1460,----,----,----,----,458,-6.4,,464.4,,,
1470,----,----,----,----,448.6,-6.4,,455,,,
1475,----,----,----,----,443.9,-6.3,,450.2,,,
1480,----,----,----,----,439.2,-6.3,,445.5,,,
1490,----,----,----,----,429.8,-6.3,,436.1,,,
1500,----,----,----,----,420.5,-6.2,,426.7,,,
1510,----,----,----,----,411.3,-6.1,,417.4,,,
1520,----,----,----,----,402,-6.2,,408.2,,,
1525,----,----,----,----,397.3,-6.2,,403.5,,,
1530,----,----,----,----,392.7,-6.2,,398.9,,,
1540,----,----,----,----,383.4,-6.2,,389.6,,,
1550,----,----,----,----,374.1,-6.3,,380.4,,,
1560,----,----,----,----,364.9,-6.4,,371.3,,,
1570,----,----,----,----,355.8,-6.4,,362.2,,,
1575,----,----,----,----,351.2,-6.4,,357.6,,,
1580,----,----,----,----,346.7,-6.4,,353.1,,,
1590,----,----,----,----,337.7,-6.4,,344.1,,,
1600,----,----,----,----,328.8,-6.3,,335.1,,,
1610,----,----,----,----,319.9,-6.3,,326.2,,,
1615,----,----,----,----,315.4,-6.3,,321.7,,,
1620,----,----,----,----,311,-6.3,,317.3,,,
1625,----,----,----,----,306.6,-6.3,,312.9,,,
1630,----,----,----,----,302.2,-6.3,,308.5,,,
1635,----,----,----,----,297.8,-6.3,,304.1,,,
1640,----,----,----,----,293.4,-6.3,,299.7,,,
1645,----,----,----,----,289,-6.3,,295.3,,,
1650,----,----,----,----,284.7,-6.2,,290.9,,,
1655,----,----,----,----,280.4,-6.2,,286.6,,,
1660,----,----,----,----,276.1,-6.2,,282.3,,,
1665,----,----,----,----,271.8,-6.2,,278,,,
1670,----,----,----,----,267.5,-6.2,,273.7,,,
1675,----,----,----,----,263.2,-6.2,,269.4,,,
1680,----,----,----,----,258.9,-6.2,,265.1,,,
1685,----,----,----,----,254.6,-6.2,,260.8,,,
1690,----,----,----,----,250.4,-6.1,,256.5,,,
1695,----,----,----,----,246.2,-6.1,,252.3,,,
1700,----,----,----,----,242,-6.1,,248.1,,,
1705,----,----,----,----,237.8,-6.1,,243.9,,,
1710,----,----,----,----,233.6,-6.1,,239.7,,,
1715,----,----,----,----,229.5,-6,,235.5,,,
1720,----,----,----,----,225.4,-6,,231.4,,,
1725,----,----,----,----,221.3,-6,,227.3,,,
1730,----,----,----,----,217.2,-6,,223.2,,,
1735,----,----,----,----,213.1,-6,,219.1,,,
1740,----,----,----,----,209.1,-5.9,,215,,,
1745,----,----,----,----,205.1,-5.9,,211,,,
1750,----,----,----,----,201.1,-5.9,,207,,,
1755,----,----,----,----,197.1,-6,,203.1,,,
1760,----,----,----,----,193.1,-6.1,,199.2,,,
1765,----,----,----,----,189.2,-6.1,,195.3,,,
1770,----,----,----,----,185.4,-6,,191.4,,,
1775,----,----,----,----,181.5,-6,,187.5,,,
1780,----,----,----,----,177.6,-6.1,,183.7,,,
1785,----,----,----,----,173.8,-6.1,,179.9,,,
1790,----,----,----,----,170,-6.1,,176.1,,,
1795,----,----,----,----,166.2,-6.1,,172.3,,,
1800,----,----,----,----,162.4,-6.1,,168.5,,,
1805,----,----,----,----,158.7,-6.1,,164.8,,,
1810,----,----,----,----,155,-6.1,,161.1,,,
1815,----,----,----,----,151.3,-6.1,,157.4,,,
1820,----,----,----,----,147.6,-6.1,,153.7,,,
1825,----,----,----,----,144.1,-6,,150.1,,,
1830,----,----,----,----,140.5,-6,,146.5,,,
1835,----,----,----,----,136.9,-6.1,,143,,,
1840,----,----,----,----,133.4,-6,,139.4,,,1
1845,----,----,----,----,129.9,-6,,135.9,,,
1850,----,----,----,----,126.4,-6,,132.4,,,
1855,----,----,----,----,123,-5.9,,128.9,,,
1860,----,----,----,----,119.6,-5.9,,125.5,,,
1865,----,----,----,----,116.2,-5.9,,122.1,,,
1870,----,----,----,----,112.9,-5.8,,118.7,,,
1875,----,----,----,----,109.6,-5.8,,115.4,,,
